type,features
FeatureCollection,"{'type': 'Feature', 'id': 'way/27594555', 'properties': {'addr:housenumber': '24b', 'addr:street': 'Spitalstrasse', 'building': 'hospital', 'check_date': '2025-11-20', 'emergency': 'ambulance_station', 'name': 'Rettungsdienst Bülach', 'operator': 'Spital Bülach', 'id': 'way/27594555'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5342284, 47.5218189], [8.5341938, 47.521726], [8.5345718, 47.5216617], [8.5346064, 47.5217545], [8.5342284, 47.5218189]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/130399122', 'properties': {'addr:city': 'Zollikerberg', 'addr:country': 'CH', 'addr:housenumber': '50', 'addr:postcode': '8125', 'addr:street': 'Trichtenhauserstrasse', 'addr:street:official_name': 'Trichtenhauser Strasse', 'building': 'yes', 'emergency': 'ambulance_station', 'emergency:phone': '144', 'name': 'Wache Zollikerberg', 'opening_hours': '24/7', 'operator': 'Schutz & Rettung Zürich', 'website': 'https://www.stadt-zuerich.ch/pd/de/index/schutz_u_rettung_zuerich/sanitaet.html', 'id': 'way/130399122'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5991339, 47.3501404], [8.5991832, 47.3499639], [8.5992213, 47.3499694], [8.59947, 47.3500052], [8.5994475, 47.3500803], [8.5994256, 47.350078], [8.5994036, 47.3500792], [8.5993921, 47.3500848], [8.5993849, 47.3500983], [8.5993623, 47.3501698], [8.5992007, 47.3501474], [8.5991999, 47.3501504], [8.5991339, 47.3501404]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/199578656', 'properties': {'building:part': 'yes', 'emergency': 'ambulance_station', 'name': 'Rettungsdienst Schaffhausen', 'operator': 'Kantonsspital Schaffhausen', 'id': 'way/199578656'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.6347296, 47.7122655], [8.6346262, 47.7122532], [8.6344601, 47.712233499999996], [8.6344928, 47.7121093], [8.6347623, 47.7121414], [8.6347598, 47.7121506], [8.6347296, 47.7122655]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/233903417', 'properties': {'addr:city': 'Winterthur', 'addr:housenumber': '20', 'addr:postcode': '8400', 'addr:street': 'Brauerstrasse', 'building': 'house', 'building:levels': '1', 'building:roof': 'flat', 'emergency': 'ambulance_station', 'name': 'Rettungswache Winterthur', 'operator': 'Kantonsspital Winterthur', 'roof:shape': 'flat', 'short_name': 'Haus V', 'id': 'way/233903417'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7297882, 47.5073925], [8.7301869, 47.5072653], [8.7303178, 47.5074524], [8.7302223, 47.5074829], [8.7301371, 47.5075101], [8.73009, 47.5074427], [8.7300328, 47.5074609], [8.730082, 47.5075311], [8.730035, 47.5075461], [8.7299197, 47.5075829], [8.7298867, 47.5075356], [8.7298672, 47.5075078], [8.7298891, 47.5075008], [8.7298603, 47.5074597], [8.7298398, 47.5074663], [8.7297882, 47.5073925]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/251502068', 'properties': {'addr:city': 'Affoltern am Albis', 'addr:housenumber': '31.1', 'addr:postcode': '8910', 'addr:street': 'Sonnenbergstrasse', 'building': 'yes', 'emergency': 'ambulance_station', 'emergency:phone': '144', 'name': 'Wache Affoltern am Albis', 'opening_hours': '24/7', 'operator': 'Schutz & Rettung Zürich', 'website': 'https://www.stadt-zuerich.ch/pd/de/index/schutz_u_rettung_zuerich/sanitaet/so_arbeiten_wir/rettungsdienstwachen.html', 'id': 'way/251502068'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4562136, 47.2854169], [8.456234, 47.2853415], [8.4561927, 47.2853364], [8.4562212, 47.2852308], [8.4563253, 47.2852438], [8.4562959, 47.2853527], [8.4563367, 47.2853578], [8.4563267, 47.2853949], [8.4563173, 47.2854298], [8.4562136, 47.2854169]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/368291218', 'properties': {'addr:city': 'Regensdorf', 'addr:housenumber': '183', 'addr:postcode': '8105', 'addr:street': 'Riedthofstrasse', 'alt_name': 'Wache Regensdorf', 'building': 'service', 'emergency': 'ambulance_station', 'name': 'Rettungsdienst Limmattal', 'operator': 'Rettungsdienst Limmattal', 'id': 'way/368291218'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4624265, 47.4391805], [8.4624904, 47.4392656], [8.4621014, 47.4393992], [8.462033, 47.4393081], [8.4619914, 47.4393224], [8.461913, 47.439218], [8.4620427, 47.4391735], [8.4622126, 47.4391857], [8.4622533, 47.43924], [8.4624265, 47.4391805]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/843565567', 'properties': {'addr:city': 'Lachen SZ', 'addr:housenumber': '41', 'addr:postcode': '8853', 'addr:street': 'Oberdorfstrasse', 'building': 'yes', 'emergency': 'ambulance_station', 'emergency:phone': '144', 'name': 'Rettungsdienst Spital Lachen', 'operator': 'Spital Lachen', 'phone': '+41554513640', 'website': 'https://rettungsdienst-lachen.ch/', 'id': 'way/843565567'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8598335, 47.1897568], [8.8597982, 47.1897062], [8.8600367, 47.1896278], [8.8600494, 47.1896479], [8.8602913, 47.189568], [8.8604025, 47.1897253], [8.8601411, 47.1898106], [8.8598335, 47.1897568]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/862861748', 'properties': {'addr:city': 'Schlieren', 'addr:housenumber': '34', 'addr:postcode': '8952', 'addr:street': 'Spitalstrasse', 'building': 'yes', 'emergency': 'ambulance_station', 'name': 'Rettungsdienst Limmattal', 'operator': 'Spital Limmattal', 'id': 'way/862861748'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4286113, 47.3938039], [8.4289606, 47.3938996], [8.4288583, 47.3940706], [8.428509, 47.393975], [8.4286113, 47.3938039]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/1089404410', 'properties': {'addr:city': 'Uster', 'addr:housenumber': '3', 'addr:postcode': '8610', 'addr:street': 'Feldhofstrasse', 'alt_name': 'Wache RD Uster', 'building': 'yes', 'check_date': '2025-03-02', 'email': 'sekretariat.rettungsdienst@spital-uster.ch', 'emergency': 'ambulance_station', 'emergency:phone': '144', 'name': 'Rettungsdienst Uster', 'operator': 'Spital Uster', 'short_name': 'RD Uster', 'website': 'https://www.spitaluster.ch/de/Patienten/Behandlungsangebot/Fuer-Patienten/Bereiche/Rettungsdienst.135.html', 'id': 'way/1089404410'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.7235116, 47.3520895], [8.7231952, 47.3523717], [8.7230155, 47.3522792], [8.7232482, 47.3520717], [8.723332, 47.351997], [8.7235116, 47.3520895]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/1411116370', 'properties': {'addr:city': 'Wetzikon', 'addr:postcode': '8620', 'addr:street': 'Schneggenstrasse', 'alt_name': 'Regio 144 Wache Wetzikon', 'amenity': 'rescue_station', 'building': 'yes', 'emergency': 'ambulance_station', 'emergency:phone': '144', 'name': 'Regio 144 AG', 'operator': 'Regio 144 Rettung AG', 'phone': '+41 55 220 41 41', 'website': 'https://www.regio144.ch/', 'id': 'way/1411116370'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8019519, 47.3200459], [8.8018366, 47.3200077], [8.8018875, 47.319935], [8.8020055, 47.3199731], [8.8019519, 47.3200459]]]}}"
