type,features
FeatureCollection,"{'type': 'Feature', 'id': 'way/23454704', 'properties': {'aeroway': 'helipad', 'lit': 'yes', 'maxweight': '5', 'name': 'Dachlandeplatz Triemli', 'start_date': '2017-07-12', 'id': 'way/23454704'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.4973231, 47.3665994], [8.4973921, 47.3664613], [8.4975939, 47.3665076], [8.4975258, 47.3666457], [8.4973231, 47.3665994]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/28858109', 'properties': {'aeroway': 'helipad', 'description': 'Helipad  Lions1 Rescue Helicopter', 'name': 'Lions 1', 'operator': 'AAA Alpine Air Ambulance AG', 'surface': 'asphalt', 'id': 'way/28858109'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.2334867, 47.4443352], [8.2334861, 47.4442973], [8.2335033, 47.4442613], [8.2335365, 47.4442309], [8.2335823, 47.4442091], [8.233636, 47.4441984], [8.2336642, 47.4441991], [8.2336919, 47.4441997], [8.233705, 47.4442031], [8.2337466, 47.4442139], [8.2337912, 47.4442396], [8.2338206, 47.4442738], [8.2338316, 47.4443127], [8.233823, 47.4443511], [8.2337953, 47.4443868], [8.2337522, 47.4444136], [8.2336984, 47.4444292], [8.2336555, 47.4444311], [8.2336399, 47.4444318], [8.2335859, 47.4444219], [8.2335394, 47.4444009], [8.2335051, 47.4443709], [8.2334867, 47.4443352]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/35537063', 'properties': {'aeroway': 'helipad', 'source': 'Orthophotos2006sitn50cm', 'id': 'way/35537063'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[6.8666855, 46.9589639], [6.8667563, 46.9589589], [6.8668266, 46.9590012], [6.8668319, 46.9590554], [6.866772, 46.9591075], [6.8667361, 46.9591351], [6.866617, 46.9590669], [6.8666126, 46.959018], [6.8666855, 46.9589639]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/47380175', 'properties': {'aeroway': 'helipad', 'name': 'Lachen Spital', 'ref': 'LACHSP', 'website': 'https://www.helipad.org/app/default.asp?padId=26', 'id': 'way/47380175'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.8587324, 47.1887323], [8.8586421, 47.1886695], [8.8587267, 47.1886035], [8.858825, 47.1886627], [8.8587324, 47.1887323]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/48779184', 'properties': {'aeroway': 'helipad', 'id': 'way/48779184'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.057576, 47.3898341], [8.0576107, 47.3898374], [8.0576987, 47.3898459], [8.0577346, 47.3898494], [8.0577126, 47.3899543], [8.0575539, 47.389939], [8.057576, 47.3898341]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/51383260', 'properties': {'aeroway': 'helipad', 'maxweight': '6', 'name': 'POURTALES', 'source': 'Orthophotos 2006 SITN 50cm', 'id': 'way/51383260'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[6.9420811, 46.9966435], [6.9421312, 46.9964611], [6.9423917, 46.9964941], [6.9423455, 46.9966767], [6.9420811, 46.9966435]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/51383326', 'properties': {'aeroway': 'helipad', 'source': 'Orthophotos 2006 SITN 50cm', 'id': 'way/51383326'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[6.9061891, 47.0326405], [6.9062829, 47.0325845], [6.9063811, 47.0326605], [6.9062873, 47.0327164], [6.9061891, 47.0326405]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/51383398', 'properties': {'aeroway': 'helipad', 'id': 'way/51383398'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[6.8314665, 47.1132077], [6.8315675, 47.1131326], [6.8316752, 47.1131996], [6.8315742, 47.1132747], [6.8314665, 47.1132077]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/51384043', 'properties': {'aeroway': 'helipad', 'source': 'Orthophotos 2006 SITN 50cm', 'id': 'way/51384043'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[6.6297613, 46.9256615], [6.629821, 46.9256011], [6.629919, 46.9256463], [6.6298593, 46.9257067], [6.6297613, 46.9256615]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/72402248', 'properties': {'aeroway': 'helipad', 'id': 'way/72402248'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[7.4538515, 46.9761207], [7.4539133, 46.976054], [7.4539235, 46.9760578], [7.4540142, 46.9760954], [7.4539524, 46.9761635], [7.4538515, 46.9761207]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/80540481', 'properties': {'aeroway': 'helipad', 'id': 'way/80540481'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[8.5634617, 46.3676252], [8.5633944, 46.3675478], [8.5635151, 46.3674978], [8.5635824, 46.3675752], [8.5634617, 46.3676252]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/86411552', 'properties': {'aeroway': 'helipad', 'ref': 'H', 'id': 'way/86411552'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[9.0650386, 47.0446588], [9.065095, 47.0445769], [9.0652117, 47.0446142], [9.0651552, 47.0446962], [9.0650386, 47.0446588]]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/100270966', 'properties': {'aeroway': 'helipad', 'id': 'way/100270966'}, 'geometry': {'type': 'Polygon', 'coordinates': [[[6.2184377, 46.4455598], [6.2186263, 46.445579], [6.21865, 46.4456513], [6.2185798, 46.4457163], [6.218408, 46.445697], [6.2183777, 46.4456266], [6.2184377, 46.4455598]]]}}"
