type,features
FeatureCollection,"{'type': 'Feature', 'id': 'way/4072310', 'properties': {'destination': 'Bern;Chur;Luzern;Flughafen;Nordring-Zürich', 'destination:symbol': 'airport', 'highway': 'motorway', 'int_ref': 'E 41;E 60', 'lanes': '2', 'lit': 'yes', 'maxheight': 'default', 'maxspeed': '100', 'maxspeed:variable': 'yes', 'oneway': 'yes', 'ref': 'A1;A4', 'source:maxspeed': 'sign', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4072310'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.602184, 47.4075547], [8.5999934, 47.4074956], [8.59966, 47.4074906], [8.5992486, 47.4074857], [8.5984116, 47.4074902], [8.5981003, 47.4074923], [8.5978165, 47.4074973], [8.5972142, 47.4075135]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4249162', 'properties': {'highway': 'motorway', 'int_ref': 'E 41;E 60', 'lanes': '2', 'lit': 'no', 'maxheight': 'default', 'maxspeed': '100', 'oneway': 'yes', 'overtaking:hgv': 'no', 'ref': 'A1;A4', 'source:maxspeed': 'sign', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4249162'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6869959, 47.5092067], [8.6870398, 47.5093521], [8.6870958, 47.5094885], [8.6871657, 47.5096559], [8.6872426, 47.5098216], [8.6873145, 47.5099762], [8.6873916, 47.5101307], [8.6874749, 47.5102839], [8.6875649, 47.5104355], [8.6876463, 47.5105786], [8.6877335, 47.5107217], [8.687824299999999, 47.5108638], [8.687919, 47.5110057], [8.6880546, 47.5112058], [8.6881952, 47.5114039], [8.6883404, 47.5115989], [8.6884926, 47.5117926], [8.6887145, 47.5120638], [8.6888364, 47.5122116]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4255841', 'properties': {'destination:int_ref:lanes': 'E 60|E 60|E 60;E 41', 'destination:lanes': 'Sankt Gallen;Kreuzlingen|Sankt Gallen;Kreuzlingen|Sankt Gallen;Kreuzlingen;Schaffhausen', 'destination:ref:lanes': 'A1|A1|A1;A4', 'highway': 'motorway', 'int_ref': 'E 41;E 60', 'lanes': '3', 'lit': 'no', 'maxspeed': '100', 'oneway': 'yes', 'ref': 'A1;A4', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4255841'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6921697, 47.5153257], [8.6924152, 47.515518], [8.6927176, 47.5157732], [8.6930061, 47.5160087], [8.6933557, 47.5163026]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4310693', 'properties': {'destination:lanes': 'Zürich City|', 'highway': 'motorway', 'lanes': '2', 'lit': 'yes', 'maxheight': 'default', 'maxspeed': '100', 'oneway': 'yes', 'ref': 'A1H', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4310693'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.4227913, 47.413833], [8.4232156, 47.4136696], [8.4236425, 47.4134756], [8.4241826, 47.413234], [8.4250145, 47.4128833], [8.4258319, 47.412557], [8.4265098, 47.4123056], [8.4267803, 47.4122074], [8.4270427, 47.4121148]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4310694', 'properties': {'avz': '66', 'cs_dir:forward': '2', 'highway': 'motorway', 'lanes': '3', 'lit': 'no', 'maxspeed': '120', 'oneway': 'yes', 'ref': 'A1H', 'ssvz': '750N', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4310694'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.4681865, 47.403478], [8.4677593, 47.4036652], [8.4673578, 47.4038321], [8.4669439, 47.4039879], [8.46632, 47.4041987], [8.4658919, 47.4043282], [8.4654493, 47.4044498], [8.4651338, 47.4045316], [8.4647941, 47.4046112], [8.4644427, 47.404685], [8.4641039, 47.4047487], [8.4636659, 47.4048262], [8.4631757, 47.4049075], [8.4620546, 47.4050863], [8.4611468, 47.4052377], [8.4606906, 47.4053278], [8.4602408, 47.4054251]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4485181', 'properties': {'bridge': 'yes', 'highway': 'motorway', 'lanes': '2', 'layer': '1', 'lit': 'yes', 'maxspeed': '100', 'oneway': 'yes', 'ref': 'A3', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4485181'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.5208761, 47.3427287], [8.5211588, 47.3423978], [8.5211959, 47.3423489], [8.5213653, 47.3421262], [8.5215523, 47.3418355], [8.5216726, 47.3416208], [8.5217902, 47.3414034], [8.5219978, 47.3409459], [8.5220956, 47.3406657], [8.5221405, 47.3405048], [8.5221401, 47.3403773]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4485182', 'properties': {'highway': 'motorway', 'lanes': '3', 'lit': 'yes', 'maxspeed': '100', 'oneway': 'yes', 'ref': 'A3', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4485182'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.5291182, 47.3299601], [8.5286904, 47.3304719], [8.5284476, 47.3307454], [8.5281815, 47.3310211], [8.5276591, 47.3315317], [8.5270146, 47.3320877], [8.5260212, 47.3329216]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4497143', 'properties': {'highway': 'motorway', 'lanes': '2', 'maxspeed': '120', 'oneway': 'yes', 'ref': 'A7', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4497143'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.7872533, 47.5317905], [8.7883868, 47.5318383], [8.7887946, 47.5318461], [8.7890909, 47.5318471], [8.7892598, 47.5318465]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4554722', 'properties': {'bridge': 'yes', 'destination': 'Zürich', 'highway': 'motorway', 'int_ref': 'E 41;E 60', 'lanes': '2', 'layer': '2', 'lit': 'yes', 'maxspeed': '100', 'maxspeed:variable': 'yes', 'oneway': 'yes', 'ref': 'A1;A4', 'source:maxspeed': 'sign', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4554722'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6314965, 47.4190321], [8.631138, 47.418789], [8.6307635, 47.4185276], [8.6303002, 47.4182001], [8.6297967, 47.4178244]]}}"
FeatureCollection,"{'type': 'Feature', 'id': 'way/4554725', 'properties': {'bridge': 'yes', 'highway': 'motorway', 'int_ref': 'E 41;E 60', 'lanes': '2', 'layer': '1', 'lit': 'yes', 'maxspeed': '100', 'maxspeed:variable': 'yes', 'oneway': 'yes', 'ref': 'A1;A4', 'surface': 'asphalt', 'toll': 'yes', 'id': 'way/4554725'}, 'geometry': {'type': 'LineString', 'coordinates': [[8.6285983, 47.4167565], [8.6287391, 47.4168596], [8.6293832, 47.4173387]]}}"
